image,zoom_mm,volume_ml
IMG_1352.jpeg,22.0,5.0
IMG_1353.jpeg,22.0,5.0
IMG_1354.jpeg,22.0,5.0
IMG_1355.jpeg,22.0,5.0
IMG_1356.jpeg,22.0,5.0
IMG_1357.jpeg,22.0,5.0
IMG_1358.jpeg,22.0,8.0
IMG_1359.jpeg,22.0,8.0
IMG_1360.jpeg,22.0,8.0
IMG_1361.jpeg,22.0,4.0
IMG_1362.jpeg,22.0,4.0
IMG_1363.jpeg,22.0,4.0
IMG_1364.jpeg,22.0,3.0
IMG_1365.jpeg,22.0,3.0
IMG_1366.jpeg,22.0,3.0
IMG_1452.jpeg,22.0,2.5
IMG_1453.jpeg,22.0,2.5
IMG_1454.jpeg,22.0,2.5
IMG_1455.jpeg,22.0,6.5
IMG_1456.jpeg,22.0,6.5
IMG_1457.jpeg,22.0,6.5
IMG_1458.jpeg,22.0,3.0
IMG_1459.jpeg,22.0,3.0
IMG_1460.jpeg,22.0,3.0
IMG_1461.jpeg,22.0,4.0
IMG_1462.jpeg,22.0,4.0
IMG_1463.jpeg,22.0,4.0
IMG_1464.jpeg,22.0,6.0
IMG_1465.jpeg,22.0,6.0
IMG_1466.jpeg,22.0,6.0
IMG_1467.jpeg,22.0,4.0
IMG_1468.jpeg,22.0,4.0
IMG_1469.jpeg,22.0,4.0
IMG_1470.jpeg,22.0,1.8
IMG_1471.jpeg,22.0,1.8
IMG_1472.jpeg,22.0,1.8
IMG_1473.jpeg,22.0,3.6
IMG_1474.jpeg,22.0,3.6
IMG_1475.jpeg,22.0,3.6
IMG_1476.jpeg,22.0,2.2
IMG_1477.jpeg,22.0,2.2
IMG_1478.jpeg,22.0,2.2
IMG_1559.jpeg,22.0,5.0
IMG_1560.jpeg,22.0,5.0
IMG_1561.jpeg,22.0,5.0
IMG_1562.jpeg,22.0,5.0
IMG_1563.jpeg,22.0,5.0
IMG_1564.jpeg,22.0,5.0
IMG_1565.jpeg,22.0,5.0
IMG_1566.jpeg,22.0,5.0
IMG_1567.jpeg,22.0,5.0
IMG_1568.jpeg,22.0,4.5
IMG_1569.jpeg,22.0,4.5
IMG_1570.jpeg,22.0,4.5
IMG_1571.jpeg,22.0,5.0
IMG_1572.jpeg,22.0,5.0
IMG_1573.jpeg,22.0,5.0
IMG_1574.jpeg,22.0,2.5
IMG_1575.jpeg,22.0,2.5
IMG_1576.jpeg,22.0,2.5
IMG_1577.jpeg,22.0,4.0
IMG_1578.jpeg,22.0,4.0
IMG_1579.jpeg,22.0,4.0
IMG_1580.jpeg,22.0,4.2
IMG_1581.jpeg,22.0,4.2
IMG_1582.jpeg,22.0,4.2
IMG_1583.jpeg,22.0,2.0
IMG_1584.jpeg,22.0,2.0
IMG_1585.jpeg,22.0,2.0
IMG_1586.jpeg,22.0,4.8
IMG_1587.jpeg,22.0,4.8
IMG_1588.jpeg,22.0,4.8
IMG_2773.jpeg,22.0,4.0
IMG_2774.jpeg,22.0,4.0
IMG_2775.jpeg,22.0,4.0
IMG_2776.jpeg,22.0,7.5
IMG_2777.jpeg,22.0,7.5
IMG_2778.jpeg,22.0,7.5
IMG_2779.jpeg,22.0,2.0
IMG_2780.jpeg,22.0,2.0
IMG_2781.jpeg,22.0,2.0
IMG_2782.jpeg,22.0,5.0
IMG_2783.jpeg,22.0,5.0
IMG_2784.jpeg,22.0,5.0
IMG_2785.jpeg,22.0,7.0
IMG_2786.jpeg,22.0,7.0
IMG_2787.jpeg,22.0,7.0
IMG_2788.jpeg,22.0,4.0
IMG_2789.jpeg,22.0,4.0
IMG_2790.jpeg,22.0,4.0
IMG_2791.jpeg,22.0,4.0
IMG_2792.jpeg,22.0,4.0
IMG_2793.jpeg,22.0,4.0
IMG_2794.jpeg,22.0,6.0
IMG_2795.jpeg,22.0,6.0
IMG_2796.jpeg,22.0,6.0
IMG_2797.jpeg,22.0,4.0
IMG_2798.jpeg,22.0,4.0
IMG_2799.jpeg,22.0,4.0
IMG_4002.jpeg,22.0,4.5
IMG_4003.jpeg,22.0,4.5
IMG_4004.jpeg,22.0,4.5
IMG_4005.jpeg,22.0,4.5
IMG_4006.jpeg,22.0,4.5
IMG_4007.jpeg,22.0,4.6
IMG_4008.jpeg,22.0,4.6
IMG_4009.jpeg,22.0,4.6
IMG_4010.jpeg,22.0,4.6
IMG_4011.jpeg,22.0,4.6
IMG_4012.jpeg,22.0,6.5
IMG_4013.jpeg,22.0,6.5
IMG_4014.jpeg,22.0,6.5
IMG_4015.jpeg,22.0,6.5
IMG_4016.jpeg,22.0,6.5
IMG_4017.jpeg,22.0,9.21
IMG_4018.jpeg,22.0,9.21
IMG_4019.jpeg,22.0,9.21
IMG_4020.jpeg,22.0,9.21
IMG_4021.jpeg,22.0,9.21
IMG_4022.jpeg,22.0,6.62
IMG_4023.jpeg,22.0,6.62
IMG_4024.jpeg,22.0,6.62
IMG_4025.jpeg,22.0,6.62
IMG_4026.jpeg,22.0,6.62
IMG_4027.jpeg,22.0,4.93
IMG_4028.jpeg,22.0,4.93
IMG_4029.jpeg,22.0,4.93
IMG_4030.jpeg,22.0,4.93
IMG_4031.jpeg,22.0,4.93
IMG_4032.jpeg,22.0,4.5
IMG_4033.jpeg,22.0,4.5
IMG_4034.jpeg,22.0,4.5
IMG_4035.jpeg,22.0,4.5
IMG_4036.jpeg,22.0,4.5
IMG_4037.jpeg,22.0,6.32
IMG_4038.jpeg,22.0,6.32
IMG_4039.jpeg,22.0,6.32
IMG_4040.jpeg,22.0,6.32
IMG_4041.jpeg,22.0,6.32
IMG_4042.jpeg,22.0,6.0
IMG_4043.jpeg,22.0,6.0
IMG_4044.jpeg,22.0,6.0
IMG_4045.jpeg,22.0,6.0
IMG_4046.jpeg,22.0,6.0
IMG_4047.jpeg,22.0,5.82
IMG_4048.jpeg,22.0,5.82
IMG_4049.jpeg,22.0,5.82
IMG_4051.jpeg,22.0,5.82
IMG_4053.jpeg,22.0,5.82
IMG_4054.jpeg,22.0,7.0
IMG_4056.jpeg,22.0,7.0
IMG_4057.jpeg,22.0,7.0
IMG_4058.jpeg,22.0,7.0
IMG_4059.jpeg,22.0,7.0
IMG_4060.jpeg,22.0,5.0
IMG_4061.jpeg,22.0,5.0
IMG_4062.jpeg,22.0,5.0
IMG_4063.jpeg,22.0,5.0
IMG_4064.jpeg,22.0,5.0
IMG_4065.jpeg,22.0,6.0
IMG_4066.jpeg,22.0,6.0
IMG_4067.jpeg,22.0,6.0
IMG_4068.jpeg,22.0,6.0
IMG_4069.jpeg,22.0,6.0
IMG_4070.jpeg,22.0,6.5
IMG_4071.jpeg,22.0,6.5
IMG_4072.jpeg,22.0,6.5
IMG_4073.jpeg,22.0,6.5
IMG_4074.jpeg,22.0,6.5
IMG_4075.jpeg,22.0,3.5
IMG_4076.jpeg,22.0,3.5
IMG_4077.jpeg,22.0,3.5
IMG_4078.jpeg,22.0,3.5
IMG_4079.jpeg,22.0,3.5
IMG_4080.jpeg,22.0,9.0
IMG_4081.jpeg,22.0,9.0
IMG_4082.jpeg,22.0,9.0
IMG_4084.jpeg,22.0,9.0
IMG_4085.jpeg,22.0,9.0
IMG_4086.jpeg,22.0,6.1
IMG_4087.jpeg,22.0,6.1
IMG_4088.jpeg,22.0,6.1
IMG_4089.jpeg,22.0,6.1
IMG_4090.jpeg,22.0,6.1
